Metric,albedo,emissivity,CE,CH,rso_scale,cloud_scale,wind_exponent,Qsw,Qlw,Qe,Qh,Qnet,Residual_W_m2
Spring,0.1,0.99,0.00104,0.00104,1.1,1.2,0.16666666666666666,134.52698670494033,-24.475085420505934,-20.965829635109166,0.9900598615122271,90.07613151083744,
Spring,0.1,0.99,0.00104,0.00156,0.9,0.8,0.125,134.52698670494033,-48.512554365178346,-19.605968578859187,1.3887656396501098,67.7972294005529,
Spring,0.1,0.99,0.00104,0.00156,0.9,0.8,0.16666666666666666,134.52698670494033,-48.512554365178346,-20.965829635109166,1.4850897922683408,66.53369249692115,
Spring,0.1,0.99,0.00104,0.00156,0.9,1.2,0.125,134.52698670494033,-28.46178806393158,-19.605968578859187,1.3887656396501098,87.84799570179966,
Spring,0.1,0.99,0.00104,0.00156,0.9,1.2,0.16666666666666666,134.52698670494033,-28.46178806393158,-20.965829635109166,1.4850897922683408,86.58445879816792,
Spring,0.1,0.99,0.00104,0.00156,1.1,0.8,0.125,134.52698670494033,-45.94557228255559,-19.605968578859187,1.3887656396501098,70.36421148317565,
Spring,0.1,0.99,0.00104,0.00156,1.1,0.8,0.16666666666666666,134.52698670494033,-45.94557228255559,-20.965829635109166,1.4850897922683408,69.1006745795439,
Spring,0.1,0.99,0.00104,0.00156,1.1,1.2,0.125,134.52698670494033,-24.475085420505934,-19.605968578859187,1.3887656396501098,91.8346983452253,
Spring,0.1,0.99,0.00104,0.00156,1.1,1.2,0.16666666666666666,134.52698670494033,-24.475085420505934,-20.965829635109166,1.4850897922683408,90.57116144159356,
Spring,0.1,0.99,0.00156,0.00104,0.9,0.8,0.125,134.52698670494033,-48.512554365178346,-29.408952868288786,0.9258437597667397,57.53132323123994,
Spring,0.1,0.99,0.00156,0.00104,0.9,0.8,0.16666666666666666,134.52698670494033,-48.512554365178346,-31.448744452663757,0.9900598615122271,55.55574774861045,
Spring,0.1,0.99,0.00156,0.00104,0.9,1.2,0.125,134.52698670494033,-28.46178806393158,-29.408952868288786,0.9258437597667397,77.58208953248669,
Spring,0.1,0.99,0.00156,0.00104,0.9,1.2,0.16666666666666666,134.52698670494033,-28.46178806393158,-31.448744452663757,0.9900598615122271,75.60651404985721,
Spring,0.1,0.99,0.00156,0.00104,1.1,0.8,0.125,134.52698670494033,-45.94557228255559,-29.408952868288786,0.9258437597667397,60.098305313862696,
Spring,0.1,0.99,0.00156,0.00104,1.1,0.8,0.16666666666666666,134.52698670494033,-45.94557228255559,-31.448744452663757,0.9900598615122271,58.12272983123321,
Spring,0.1,0.99,0.00156,0.00104,1.1,1.2,0.125,134.52698670494033,-24.475085420505934,-29.408952868288786,0.9258437597667397,81.56879217591234,
Spring,0.1,0.99,0.00156,0.00104,1.1,1.2,0.16666666666666666,134.52698670494033,-24.475085420505934,-31.448744452663757,0.9900598615122271,79.59321669328286,
Spring,0.1,0.99,0.00156,0.00156,0.9,0.8,0.125,134.52698670494033,-48.512554365178346,-29.408952868288786,1.3887656396501098,57.994245111123305,
